epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,70.2098,0,120.768,0,0,0,0,0,0,132.625,0,2e-05,2e-05,2e-05
2,73.1802,0,121.014,0,0,0,0,0,0,132.625,0,5.8812e-05,5.8812e-05,5.8812e-05
3,74.9418,0,120.83,0,0,0,0,0,0,132.625,0,9.604e-05,9.604e-05,9.604e-05
4,76.6572,0,120.834,0,0,0,0,0,0,132.625,0,0.000131684,0.000131684,0.000131684
5,78.2007,0,120.91,0,0,0,0,0,0,132.625,0,0.000165744,0.000165744,0.000165744
6,80.0821,0,119.478,0,0,0,0,0,0,132.625,0,0.00019822,0.00019822,0.00019822
7,82.3107,0,115.788,0,0,0,0,0,0,132.625,0,0.000229112,0.000229112,0.000229112
8,84.4428,0,112.725,0,0,0,0,0,0,132.625,0,0.00025842,0.00025842,0.00025842
9,86.4846,0,108.653,0,0,0,0,0,0,132.75,0,0.000286144,0.000286144,0.000286144
10,88.4543,0,106.28,0,0,0,0,0,0,133,0,0.000312284,0.000312284,0.000312284
11,90.5951,0,103.367,0,0,0,0,0,0,134.125,0,0.00033684,0.00033684,0.00033684
12,92.583,0,100.25,0,0,0,0,0,0,134.25,0,0.000359812,0.000359812,0.000359812
13,94.445,0,97.1163,0,0,0,0,0,0,134.75,0,0.0003812,0.0003812,0.0003812
14,96.5734,0,94.8212,0,0,0,0,0,0,132.875,0,0.000401004,0.000401004,0.000401004
15,98.8679,0,92.0129,0,0,0,0,0,0,131.375,0,0.000419224,0.000419224,0.000419224
16,100.722,0,89.0459,0,0,0,0,0,0,135.75,0,0.00043586,0.00043586,0.00043586
17,102.678,0,86.564,0,0,0,0,0,0,148.75,0,0.000450912,0.000450912,0.000450912
18,104.528,0,85.9233,0,0,0,0,0,0,180.125,0,0.00046438,0.00046438,0.00046438
19,106.455,0,83.0725,0,0,0,0,0,0,196.375,0,0.000476264,0.000476264,0.000476264
20,108.367,0,81.1099,0,0,0,0,0,0,195.375,0,0.000486564,0.000486564,0.000486564
21,110.19,0,90.8344,0,0,0,0,0,0,197,0,0.00049528,0.00049528,0.00049528
22,112.093,0,86.7629,0,0,0,0,0,0,163.875,0,0.000502412,0.000502412,0.000502412
23,113.929,0,83.3845,0,0,0,0,0,0,120.625,0,0.00050796,0.00050796,0.00050796
24,115.929,0,82.6534,0,0,0,0,0,0,113,0,0.000511924,0.000511924,0.000511924
25,117.996,0,79.6822,0,0,0,0,0,0,119.688,0,0.000514304,0.000514304,0.000514304
26,120.155,0,77.4575,0,0,0,0,0,0,98.375,0,0.0005151,0.0005151,0.0005151
27,122.194,0,78.2024,0,0,0,0,0,0,75.9375,0,0.000514312,0.000514312,0.000514312
28,124.282,0,76.1255,0,0,0,0,0,0,75.9375,0,0.00051194,0.00051194,0.00051194
29,126.58,0,76.2437,0,0,0,0,0,0,59.0938,0,0.000507984,0.000507984,0.000507984
30,128.843,0,75.7429,0,0,0,0,0,0,56.8125,0,0.000502444,0.000502444,0.000502444
31,130.696,0,74.3663,0,0,0,0,0,0,56.8125,0,0.00049532,0.00049532,0.00049532
32,132.756,0,74.3096,0,0,0,0,0,0,56.2812,0,0.000486612,0.000486612,0.000486612
33,134.739,0,74.1037,0,0,0,0,0,0,55.4375,0,0.00047632,0.00047632,0.00047632
34,136.655,0,78.5572,0,0,0,0,0,0,55.4375,0,0.000464444,0.000464444,0.000464444
35,138.64,0,72.6206,0,0,0,0,0,0,57.75,0,0.000450984,0.000450984,0.000450984
36,140.517,0,73.0974,0,0,0,0,0,0,59.0938,0,0.00043594,0.00043594,0.00043594
37,142.299,0,75.4702,0,0,0,0,0,0,59.0938,0,0.000419312,0.000419312,0.000419312
38,144.228,0,73.0777,0,0,0,0,0,0,58.8438,0,0.0004011,0.0004011,0.0004011
39,146.257,0,74.0007,0,0,0,0,0,0,57.5,0,0.000381304,0.000381304,0.000381304
40,148.174,0,72.9625,0,0,0,0,0,0,57.5,0,0.000359924,0.000359924,0.000359924
41,184.953,0,72.9715,0,0,0,0,0,0,56.0312,0,0.00033696,0.00033696,0.00033696
42,186.99,0,72.569,0,0,0,0,0,0,53.9375,0,0.000312412,0.000312412,0.000312412
43,188.671,0,71.269,0,0,0,0,0,0,53.9375,0,0.00028628,0.00028628,0.00028628
